ID,050A02,050A01,050A07,050A09,050A11,050A08
1489,0.276,0.308,21.5,2.168,0.072,0.39
1490,0.262,0.29,21.5,2.154,0.09,0.39
1491,0.274,0.302,21.5,2.168,0.06,0.394
1492,0.306,0.334,21.574,2.156,0.06,0.394
1493,0.304,0.336,21.6,2.152,0.076,0.374
1494,0.28,0.312,21.6,2.174,0.08,0.376
1495,0.296,0.326,21.654,2.156,0.09,0.402
1496,0.272,0.308,21.7,2.144,0.074,0.418
1497,0.284,0.318,21.7,2.144,0.054,0.398
1498,0.288,0.322,21.7,2.134,0.072,0.4
1499,0.294,0.33,21.7,2.15,0.058,0.394
1500,0.27,0.302,21.7,2.17,0.072,0.394
1501,0.26,0.29,21.7,2.134,0.076,0.4
1502,0.264,0.292,21.7,2.116,0.068,0.406
1503,0.282,0.306,21.7,2.164,0.082,0.382
1504,0.318,0.338,21.7,2.152,0.08,0.368
1505,0.306,0.328,21.7,2.142,0.076,0.366
1506,0.32,0.346,21.7,2.148,0.066,0.382
1507,0.33,0.352,21.7,2.164,0.068,0.408
1508,0.344,0.372,21.7,2.13,0.082,0.412
1509,0.338,0.368,21.7,2.12,0.078,0.424
1510,0.324,0.348,21.7,2.15,0.062,0.432
1511,0.3,0.328,21.7,2.146,0.042,0.444
1512,0.314,0.348,21.7,2.172,0.026,0.446
1513,0.326,0.352,21.7,2.13,0.066,0.434
1514,0.282,0.314,21.7,2.144,0.062,0.414
1515,0.26,0.284,21.704,2.142,0.082,0.418
1516,0.256,0.282,21.7,2.192,0.054,0.42
1517,0.248,0.276,21.7,2.156,0.074,0.396
1518,0.246,0.27,21.7,2.072,0.076,0.364
1519,0.26,0.284,21.7,2.08,0.072,0.36
1520,0.25,0.278,21.7,2.172,0.074,0.36
1521,0.274,0.3,21.7,2.17,0.086,0.358
1522,0.292,0.328,21.7,2.14,0.092,0.36
1523,0.276,0.308,21.7,2.124,0.096,0.36
1524,0.28,0.304,21.7,2.128,0.088,0.374
1525,0.306,0.33,21.7,2.166,0.086,0.402
1526,0.318,0.346,21.7,2.134,0.222,0.402
1527,0.326,0.354,21.7,2.114,0.09,0.398
1528,0.314,0.344,21.7,2.138,0.064,0.412
1529,0.294,0.322,21.7,2.054,0.092,0.428
1530,0.292,0.316,21.7,2.126,0.256,0.44
1531,0.306,0.33,21.7,2.13,0.124,0.434
1532,0.288,0.32,21.7,2.162,0.082,0.418
1533,0.278,0.31,21.7,2.164,0.07,0.4
1534,0.284,0.314,21.7,2.134,0.044,0.414
1535,0.294,0.32,21.7,2.122,0.064,0.406
1536,0.28,0.308,21.7,2.106,0.072,0.4
1537,0.262,0.29,21.7,2.066,0.074,0.4
1538,0.264,0.294,21.7,1.988,0.074,0.402
1539,0.268,0.296,21.7,2.08,0.06,0.402
1540,0.262,0.29,21.7,2.09,0.072,0.38
1541,0.256,0.288,21.7,2.046,0.082,0.374
1542,0.24,0.27,21.7,2.052,0.098,0.38
1543,0.25,0.27,21.692,2.132,0.334,0.376
1544,0.242,0.27,21.7,2.128,0.304,0.376
1545,0.242,0.266,21.7,2.116,0.164,0.36
1546,0.246,0.27,21.7,2.078,0.074,0.36
1547,0.244,0.27,21.622,2.054,0.054,0.358
1548,0.242,0.268,21.6,2.074,0.064,0.35
1549,0.238,0.314,21.6,2.046,0.08,0.356
1550,0.24,0.336,21.552,2.044,0.17,0.36
1551,0.242,0.324,21.5,2.066,0.078,0.36
1552,0.234,0.312,21.5,2.078,0.082,0.36
1553,0.23,0.304,21.5,2.06,0.09,0.36
1554,0.24,0.342,21.5,2.082,0.11,0.36
1555,0.248,0.376,21.46,2.072,0.222,0.362
1556,0.24,0.296,21.4,2.082,0.126,0.382
1557,0.264,0.328,21.4,2.122,0.086,0.394
1558,0.254,0.328,21.4,2.102,0.238,0.406
1559,0.234,0.318,21.4,2.15,0.102,0.414
1560,0.216,0.298,21.4,2.132,0.086,0.428
1561,0.21,0.304,21.4,2.268,0.088,0.422
